keywords,sentence,topic
"school prayer: ideals, forced, believe, religion, free, school",religion should not be forced on school children. they should be free to believe their own ideals,school prayer
"school prayer: upon, forced, young, religion, children",religion should not be forced upon young children,school prayer
"school prayer: excluded, children, upon, religions, beliefs, forced",religious beliefs are forced upon children and children of different religions may feel excluded,school prayer
"school prayer: school, pray, nothing, religion, home","school and religion have nothing to do with each other; if students want to pray they can do it at home or church, not school",school prayer
"school prayer: prayers, meant, elsewhere, teach","school is meant to teach students about science, mathematics, history, prayers should be done elsewhere",school prayer
"school prayer: school, inside, prayer, church",school is not a church and any prayer inside the school should be banned.,school prayer
"school prayer: run, practice, religion, since, place, school",school is not the place to practice religion since it is run by the state.,school prayer
"school prayer: worship, violation, forcing, acts, basic","school prayer acts in violation of basic religious freedom, by forcing all children to worship one diety.",school prayer
"school prayer: upset, share, beliefs",school prayer can cause upset for those students who do not share the beliefs that are being shared. religion should be a choice not imposed.,school prayer
"school prayer: unity, sense, prayer, give",school prayer can give children a sense of unity and structure.,school prayer
"school prayer: beliefs, array, account",school prayer cannot account for the array of beliefs or non-beliefs students may hold.,school prayer
"school prayer: anybody, causes, prayer, harm, allowed, school",school prayer causes no harm to anybody and should be allowed,school prayer
"school prayer: differing, varying, adhere, participate, forcing","school prayer does not adhere to children of varying religions, forcing them to participate or feel left out due to their differing beliefs.",school prayer
"school prayer: reinforce, morals, hurt, anyone, prayer, helps",school prayer does not hurt anyone and only helps to reinforce good morals,school prayer
"school prayer: religion, consideration, forms, lack, prayer",school prayer does not take into consideration all forms of religion or the lack of religion of others,school prayer
"school prayer: minded, cultures, religions, encourages, open, learn",school prayer encourages children to be open minded and learn about other cultures and religions,school prayer
"school prayer: flies, exclusion, stance, worship","school prayer flies in the face of religious freedom by forcing children to adopt one particular worship stance to the exclusion of other, equally valid options.",school prayer
"school prayer: concur, everybody, room, violation, basic","school prayer forces everybody in a room to concur with the same diety, and is a violation of basic religious freedom.",school prayer
"school prayer: memeber, follow, forces, prayer, religion",school prayer forces students to follow a religion that they may not be a memeber of,school prayer
"school prayer: subjugated, prayers, separation",School prayer goes against the separation of the church and government. Prayers in schools only take us back to that time where we were subjugated by religious leaders.,school prayer
"school prayer: comforting, thanks, traditionally",school prayer has traditionally brought all pupils together to give thanks to god and prohibiting this removes a tradition many find a comforting start to their day.,school prayer
"school prayer: cooperative, respectful, mindset, behave, correct",school prayer helps put the students in the correct mindset to behave in a more respectful and cooperative manner.,school prayer
"school prayer: instills, charitable, values, positive, promotes","school prayer in instills positive values and promotes charitable behaviour, we should not ban something so beneficial",school prayer
"school prayer: infringes, prayer, rights, school",school prayer infringes on the rights of students.,school prayer
"school prayer: privalliges, pupils, inherently",school prayer inherently privalliges one faith's pupils over those of others and none.,school prayer
"school prayer: instills, morals, pupils, values, prayer",school prayer instills morals and values into pupils,school prayer
"school prayer: principle, founded, respected, basic","school prayer is a basic principle our country was founded upon, christianity, and should be allowed and respected today.",school prayer
"school prayer: anywhere, american, pray, amendment, first, prayer",school prayer is a first amendment right of any american to pray anywhere they want.,school prayer
"school prayer: anyone, prayer, speech, free, school, right",school prayer is a free speech right that anyone has,school prayer
"school prayer: relax, lessons, focus, prayer",school prayer is a good way to focus and relax students for lessons,school prayer
"school prayer: separates, fights, pray, area, causes, prayer",school prayer is an area which separates students who pray from those who don't and causes fights between them,school prayer
"school prayer: antithetic, separation, offensive",school prayer is antithetic to separation of church and state and some students may find it offensive or intrusive.,school prayer
"school prayer: categorically, separation, violation, prayer, church",school prayer is categorically unconstitutional; a violation of the separation of church and state.,school prayer
"school prayer: marks, divisive, question","School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which marks people out by their differences at an early age.",school prayer
"school prayer: prayer, exclusionary, nationalities, faiths, listen",school prayer is exclusionary and should be abolished.  schools now have children of many different nationalities and faiths and they should not be forced to listen to prayer from another religion.,school prayer
"school prayer: forcing, including, prayer, religion","school prayer is forcing a religion on everyone, including non-believers",school prayer
"school prayer: generates, exercise, short, positive",school prayer is often a short exercise of personal freedom and generates good will and a positive atmosphere.,school prayer
"school prayer: expected, non, religious, prayer, wrong",school prayer is wrong because the non religious are expected to participate.,school prayer
"school prayer: tyrannized, majority, religions, minority, practice, prayer",school prayer leads to those who practice minority religions being tyrannized by the majority,school prayer
"school prayer: school, occur, setting, promotes",school prayer promotes religion in school which shouldn't occur in a neutral public school setting,school prayer
"school prayer: prayer, contemplation, quiet, moment, busy, teaches",School prayer provides a quiet moment of contemplation for students in a busy world and teaches them the power of prayer and trust.,school prayer
"school prayer: participate, opt, morals",school prayer provides morals and peace and if some do not want to participate due to conflict in their religion then can opt to not participate.,school prayer
"school prayer: uplifting, participate, tradition, encourages","school prayer provides spirituality, uplifting those that participate and encourages tradition and faith.",school prayer
"school prayer: cooperative, respectful, mindset, throughout, correct",school prayer puts the students in the correct mindset and helps them to be more respectful and cooperative throughout the day.,school prayer
"school prayer: multicultural, exclusion, todays, isolation, promote","school prayer should be abolished, as in todays multicultural society it can promote isolation and exclusion",school prayer
"school prayer: individuality, prayer, speech, freedom, allowed, school",School prayer should be allowed as a freedom of individuality and speech,school prayer
"school prayer: whether, prayer, choice, long","school prayer should be allowed in schools, as long as students get the choice of whether or not they want to participate.",school prayer
"school prayer: shared, teach, prayer, religion, allowed, school",school prayer should be allowed to teach children that religion should be shared,school prayer
"school prayer: singles, prayers, subject, single",school prayer should be banned as all students are not part of one single religion and should not be subject to the prayers of others and it singles them out.,school prayer
"school prayer: prayer, religion, place, school, banned",school prayer should be banned as religion has no place in the schools.,school prayer
"school prayer: establishments, run, educational, state, prayer, place",school prayer should be banned because it has no place in state run educational establishments,school prayer
"school prayer: separating, favoring, particular, prohibited",School prayer should be prohibited as a way of separating Church and State -- schools should not be favoring a particular religion.,school prayer
"school prayer: todays, diversity, prohibited",school prayer should be prohibited as in todays multi-faith and multi-cultural society it does not encourage diversity and tolerance,school prayer
"school prayer: conflicts, prohibited, beliefs, religious, prayer",school prayer should be prohibited as it conflicts with students' religious beliefs,school prayer
"school prayer: participate, activity, faith, prohibited, forces, religious",school prayer should be prohibited as it forces children to participate in a religious activity that may go against their own faith,school prayer
"school prayer: separation, violates, prohibited, state, prayer, church",school prayer should be prohibited as it violates the separation of church and state,school prayer
"school prayer: religion, prohibited, promotes, prayer, another",school prayer should be prohibited because it promotes one religion over another or over no religion.,school prayer
"school prayer: school, prohibited, promotes, prayer, religion",school prayer should be prohibited because it promotes religion in school.,school prayer
"school prayer: run, prohibited, matter, state, prayer, schools",school prayer should be prohibited because religion should be a private matter that has no place in state run schools,school prayer
"school prayer: conform, forcing, prohibited, religious, prayer",school prayer should be prohibited because we are forcing children to conform to one religious view.,school prayer
"school prayer: beliefs, prayer, choose","School prayer should be prohibited, children have the right to choose their beliefs and not bound.",school prayer
"school prayer: focus, encourages, prayer, religion, allowed, school",school prayer should not be allowed as it encourages children to focus on religion against their will,school prayer
"school prayer: reflection, quiet, atmosphere, period, study, correct",school prayer should not be prohibited because it allows students a period of quiet reflection that may help create the correct atmosphere for study,school prayer
"school prayer: prohibition, denies, prohibited, prayer, speech",school prayer should not be prohibited because its prohibition denies students their right to free speech,school prayer
"school prayer: disturb, thereof, prohibition, directly, direct","school prayer should not be prohibited because the prohibition thereof is a direct violation of a person's right to freedom of religious expression. if it does not directly disturb others, let it be legal.",school prayer
"school prayer: imposed, shouldnt, pupils, cultural, values",school prayer shouldnt be imposed on pupils as we all have different values and beliefs and live in a multi cultural society,school prayer
"school prayer: singles, belief, prayer, feel",school prayer singles out children that do not have the same belief system and makes them feel awkward.,school prayer
"school prayer: singles, either, say, look",school prayer singles out those student that do not believe the way that most of the other children do.  they are either forced to say it or look like an outcast.,school prayer
"school prayer: prayer, excludes, tends, single",school prayer tends to single out some students while making others uncomfortable.  using one form of prayer excludes those who do not believe the same.,school prayer
"school prayer: discriminates, supports, specific, usually",school prayer usually supports a specific religion. this discriminates against non-believers or members of different religions.,school prayer
"school prayer: separation, violates, state, prayer, church, school",school prayer violates the separation between church and state,school prayer
"school prayer: separation, violates, prayer, church, school",school prayer violates the separation of church and state.,school prayer
"school prayer: seperation, violates, state, prayer, church",school prayer violates the seperation of church and state,school prayer
"school prayer: seperation, violates, prayer, church",school prayer violates the seperation of church and state.,school prayer
"school prayer: prayers, separation, clear, violation, thus, church","school prayers are a clear violation of the separation of church and state, and thus should be banned.",school prayer
"school prayer: obvious, prayers, separation, violation, church",school prayers are an obvious violation of the separation of church and state.,school prayer
"school prayer: spiritual, socializing, prayers, moment, thoughts, finding",school prayers are necessary to help students socializing and finding a moment for spiritual thoughts,school prayer
"school prayer: prayers, matter, modern, outdated, practice","school prayers are outdated in a modern society, religion is a private matter someone should practice at home",school prayer
"school prayer: contemplation, reflection, quiet, prayers",School prayers is a time  to come together in quiet contemplation and promotes personal reflection and well-being in pupils.,school prayer
"school prayer: indoctrinates, excludes, prayers, pupils, particular, faith",School prayers should be prohibited as it indoctrinates people into a particular faith and excludes pupils of other faiths.,school prayer
"school prayer: centers, schools, religion, education",schools are centers of education not of religion,school prayer
"school prayer: schools, religion, education",schools are for education not religion,school prayer
"school prayer: state, schools, obligation, violate, separation",schools are part of the state system. since we have a legal obligation to keep the separation of church and state we can't allow prayer in schools as this would violate that.,school prayer
"school prayer: schools, students, infringing, contain","Schools now contain students of all religions and of none, by forcing these students to pray in schools you are infringing on their human rights, prayer is personal not public in school.
.",school prayer
"school prayer: state, sponsored, applies, separation, violation",separation of church and state applies here since schools are sponsored by the state. mandatory prayer would be a major violation of this.,school prayer
"school prayer: tenant, separation, fundamental, state, prayer, church",separation of church and state is a fundamental tenant of our country so school prayer should not be allowed.,school prayer
"school prayer: expressions, includes, express, students","students have the right to express themselves, and that includes expressions of faith.",school prayer
"school prayer: includes, pray, beliefs, allowing, religious","students' religious beliefs should be protected, which includes allowing them to pray in schools.",school prayer
"school prayer: pray, day, given, time, students, school",students should be given time to pray in school if it will help them with their day,school prayer
"school prayer: contributed, decline, moral, past, god, lack",the lack of prayer and god in schools is what has contributed to our country's moral decline over the past few decades.,school prayer
"school prayer: calm, reflection, occurs, atmosphere, period, study",the period of calm reflection that occurs during school prayer helps to promote a good atmosphere for study and learning,school prayer
"school prayer: prohibition, fact, amount, discrimination, religious, prayer",the prohibition of school prayer does in fact amount to religious discrimination,school prayer
"school prayer: component, prohibition, constitutionally, liberty, second, violates",the prohibition of school prayer violates the second component of constitutionally protected religious liberty,school prayer
"school prayer: freedom, adhere, requirement, constitutional, violation","the requirement to adhere to school prayer is a violation of the constitutional rights to freedom of religion, and freedom of expression.",school prayer
"school prayer: togetherness, school, belonging, within, prohibited, sense",the school prayer should not be prohibited as it gives a sense of belonging and togetherness within the school environment,school prayer
"school prayer: alienates, classroom, separation, purpose",the separation of church and state is a must. religion has no purpose in a classroom especially when it alienates those in the religious minorities.,school prayer
"school prayer: state, prayer, implicitly, meditation, endorsing","the state cannot endorse one religion over another.  by calling it prayer instead of meditation or a moment of silence, the state is implicitly endorsing any religions with prayer over other alternatives.",school prayer
"school prayer: beliefs, religious, place, school",there is no place for religious beliefs in school,school prayer
"school prayer: separation, clear, thus, state, church, schools",there should be a clear separation of church and state and thus there is no place in our schools for prayer.,school prayer
"school prayer: prayer, school, directly, separation","this country has had the separation of church and state for so long, and allowing school prayer goes directly against that.  prayer time has no place in school.",school prayer
"school prayer: practicing, uncomfortable, practice, kids",this practice can be uncomfortable for kids not practicing any religion.,school prayer
"school prayer: faith, school, proportion, rendering, meaningless","unless the school is a faith school where everyone practices the same faith, school prayer is meaningless to a good proportion of the students, rendering it an outdated concept.",school prayer
"school prayer: alienates, promotion, fundamental, violates","we cannot allow the promotion of one religion in schools, it alienates others and violates fundamental rights",school prayer
"school prayer: seperation, suppose, entity","we have seperation of church and state for a reason.  schools are a government entity that is not suppose to be involved with, or support, any particular religion and the two need to stay seperate.",school prayer
"school prayer: religion, practice, place, time, freedom",we have the right to freedom of religion and we should be able to practice that religion at any time and place we choose.,school prayer
"school prayer: abide, belong, separation, prayer, church, schools","we have to abide by the separation of church and state, prayer does not belong in schools",school prayer
"school prayer: multicultural, impose, numerous","We live in a multicultural society with numerous faiths, it is wrong to impose one through school prayer.",school prayer
"school prayer: prayer, central, aspect, included","we should not ban school prayer because for those in a religious community, their religion and therefore prayer is central to their lives and should be included in every aspect of it.",school prayer
"school prayer: everyday, faith, prohibit, practice, prayer",We should not prohibit school prayer as it allows students to practice their faith in their everyday life.,school prayer
"school prayer: exposes, moral, positive, prohibit, beliefs, prayer",we should not prohibit school prayer because it exposes kids to positive moral beliefs and practices.,school prayer
"school prayer: school, pray, prohibit, prayer, able",we should not prohibit school prayer because it is a child's right to be able to pray in school,school prayer
"school prayer: prayer, infringe, constitution, prohibit",we should not prohibit school prayer because the constitution gives us freedom of religion and prayer does not infringe on others.,school prayer
"school prayer: christian, founded, prohibit, prayer",we should not prohibit school prayer because this country was founded on christian principles.,school prayer
"school prayer: prayer, ever, prohibit, speech",we should not prohibit school prayer in schools because it is a form of freedom of the speech and people should be able to prayer when and where ever they want to,school prayer
"school prayer: opt, unnecessarily, prohibiting, pray, removes","we should not prohibit the right to pray in schools, children can opt out if they wish so prohibiting it simply unnecessarily removes the rights of those who want to participate.",school prayer
"school prayer: school, belong, left, prohibit, prayer, home",we should prohibit school prayer as it does not belong in the school but should be left at home or the church.,school prayer
"school prayer: school, relevant, becomes, point, within",We should prohibit school prayer as it is not relevant to many of the students within a school and therefore becomes a point of difference.,school prayer
"school prayer: pursue, prohibit, beliefs, religious, prayer, students",we should prohibit school prayer as not all students pursue religious beliefs,school prayer
"school prayer: atheist, pupils, many, religions",we should prohibit school prayer as pupils are many different religions and many children now have no religion or are atheist and so should not be forced to participate.,school prayer
"school prayer: god, prohibit, forced, believe, prayer, religion",we should prohibit school prayer because  a child shouldn't be forced into religion it should be up to them if they want to believe in god or not,school prayer
"school prayer: prayer, stepping, separate, prohibit",we should prohibit school prayer because government and church are separate and prayer is stepping over that line.,school prayer
"school prayer: agnostics, atheists, listen, prayers, agree",we should prohibit school prayer because it isn't fair to force atheists or agnostics to listen to prayers that they don't agree with,school prayer
"school prayer: prayer, may, pray","we should prohibit school prayer because not every student may pray in the same way, and some students may not even believe in prayer at all.",school prayer
"school prayer: pray, prohibit, forced, believe, prayer, school",we should prohibit school prayer because people shouldn't be forced to pray if they don't believe in it,school prayer
"school prayer: school, business, prohibit, prayer, church, religion",we should prohibit school prayer because religion has no business in school it should be at home and church only,school prayer
"school prayer: school, prohibit, learning, prayer","we should prohibit school prayer because school is for learning and education, not religion.",school prayer
"school prayer: prohibit, prayer, schools, religion, education, school",we should prohibit school prayer because schools are about education not religion,school prayer
"school prayer: pray, prohibit, forced, believe, prayer","we should prohibit school prayer because some people don't believe in god, therefore,  they should not be forced to pray",school prayer
"school prayer: supposed, separation, promote, prohibit, fair",we should prohibit school prayer because there is supposed to be a separation between church and state and because it's not fair to promote one religion over another.,school prayer
"school prayer: identifies, supposed, separation",we should prohibit school prayer because there is supposed to be a separation of church and state and because not every person identifies as christian.,school prayer
"school prayer: attendance, prayed, entity, fact",we should prohibit school prayer due to the fact that there are other religions in attendance that do not believe in the same entity being prayed to or choose not to have any beliefs at all.,school prayer
"school prayer: religion, taught, issue","we should prohibit school prayer since schools are a place of education, not religion. religion is a personal issue and should be taught at home.",school prayer
"school prayer: issue, religions, prohibit, prayer, become, since",we should prohibit school prayer since there are so many religions that it could become an issue of who is doing it right or not.,school prayer
"school prayer: mind, forcing, believe, prayer, stop, religion",we should stop school prayer because we are forcing religion on children when they should make there own  mind up if they should believe in a god.,school prayer
"school prayer: pray, prohibit, prayer, human, able, school",we shouldn't prohibit school prayer as it's a human right to be able to pray,school prayer
"school prayer: understanding, diverse, cultures, religions",we shouldn't prohibit school prayer because it can be eye-opening for children to see diverse religions and cultures which can increase their understanding of the world,school prayer
"school prayer: goes, prohibit, prayer, religion, freedom, school",we shouldn't prohibit school prayer because it goes against the right of freedom of religion,school prayer
"school prayer: prayer, whenever, wherever, sacred, please, pray",we shouldn't prohibit school prayer because prayer is sacred and children should be able to pray whenever and wherever they please,school prayer
"school prayer: deeply, prohibit, believe, prayer, may, school",we shouldn't prohibit school prayer because some people may deeply believe in it.,school prayer
"school prayer: school, distraction, pray, focus, prayer",while at school the focus should be on learning. prayer is a distraction and unnecessary. why not just pray before school or after?,school prayer
"social media: knew, whereas, presence, audience","a presence on social media allows small businesses to reach a larger audience and thrive, whereas in the past they may have failed because not enough people knew they existed.",social media
"social media: personas, names, rampant",bullying is rampant on social media because people can hide behind false names and personas and remain anonymous. users can make threats against other people and no one knows who they are.,social media
"social media: face, skills, social, peers",children lack social skills when face to face with their peers because they haven’t developed skills away from social media.,social media
"social media: bullied, likely, media, social, children",children on social media are more likely to be bullied,social media
"social media: checking, week, constant, hours, productivity, lose",employees lose hours of productivity each week due to their constant checking of social media,social media
"social media: customer, showcase, platforms, base, touch","For a company, social media platforms are a great way to keep in touch with their customer base and showcase new products.",social media
"social media: reunite, old, properly, friends",if used properly it can reunite old friends and family and bring much pleasure.,social media
"social media: find, minded, sense, community",in social media we can find like minded people and find a sense of community,social media
"social media: materialistic, breeds, culture, behavior",it breeds a culture of materialistic behavior,social media
"social media: date, keeping, brings, far, together, great",it brings family's together when the live far from one and other. it's great for keeping up to date on what each other has been doing,social media
"social media: dreamed, positive, years, ways, brings",it brings people together in ways we could not have dreamed of years ago.  this is a positive thing.,social media
"social media: isolate, addictive, friends, real, life",it can be addictive and isolate people from their real life friends and family.,social media
"social media: unknown, behaviors, intrusive, loss, known, persons",it can lead to intrusive behaviors from unknown persons as well as known people. it also makes us vulnerable to loss of privacy.,social media
"social media: specially, viewing, could, suitable, platform","it could be true specially for younger people who could be viewing things not suitable for their age.social media can also be used as a platform for crime,bullying or hate.",social media
"social media: bully, platform","it gives people a platform to pretend, show off and to bully others. it also makes people believe that everyone else has everything they want and that their lives are perfect, leading to mental health issues.",social media
"social media: media, deteriorates, beeen, social, admitting, widely","it has beeen widely proven that social media deteriorates mental health for users, with even the social media companies admitting this.",social media
"social media: harbor, platform, bullying",it is a platform that can harbor bullying and intimidation.,social media
"social media: bully, easy","it is now easy for people to bully others, as they do not have to be face-to-face with those they harass.",social media
"social media: stories, largely, fake, determine",it is now impossible to determine which news stories are true due largely to the fake stories on social media,social media
"social media: touch, lets, easily, friends, family, keep",it lets you easily keep in touch with friends and family all over the world.,social media
"social media: frequently, platform, touch, easily, friends",it provides people with connection. you can stay in touch with family or friends frequently and easily that without this platform might not be possible.,social media
"social media: media, social, consequence","it teaches the young to hide behind a screen and speak without consequence
it is impossible to police the social media sites to prevent bullying
many cases of youth suicide have been due to social media",social media
"social media: lax, ruined, user","lax regulation by social media companies has ruined politics, by allowing foreign actors access to user information as well as helping to spread alt-right propaganda.",social media
"social media: near, contact, friends, stay, live, media",many people use social media to stay in contact with friends and family that do not live near them.,social media
"social media: trolling, prevalent, affected, online, greatly, harming","online bullying and trolling is prevalent on social media, greatly harming affected individuals.",social media
"social media: obligations, neglect, spend, real",people spend so much time on social media that they neglect real life obligations and relationships.,social media
"social media: media, social, anonymity, annoy, retribution","people use social media to bully, harass, and otherwise annoy individuals and companies, and do so without fear of retribution or consequences due to the anonymity of social media.",social media
"social media: communicate, frequently, effectively, lose, ability",people who use social media too frequently lose the ability to communicate effectively in person.,social media
"social media: reconnect, distances, irrespective, communicate","social media allow long-lost family members to reconnect and communicate with other, for free, and irrespective of the physical distances involved.",social media
"social media: distances, touch, quick, friends, easy","social media allows a quick and easy way for people to stay in touch with friends and family, often over long distances",social media
"social media: social, contact","social media allows access to social service resources, food pantries, various support groups, housing and many other viable resources. it helps maintain contact with family and friends.",social media
"social media: breaking, shared, news, around",social media allows breaking news to be shared around the world instantaneously.,social media
"social media: disinformation, alarming, spread, serious","social media allows disinformation to spread at an alarming speed, with serious consequences.",social media
"social media: distant, relatives, communicate, easily, friends",social media allows distant friends and relatives to easily communicate,social media
"social media: compassion, discriminated, exploited, show, suffering",social media allows exploited and discriminated groups of people to show the suffering they're into for the world to take compassion and get help,social media
"social media: apart, remain, living, families, media",social media allows families living apart to remain in touch.,social media
"social media: apart, touch, share, far, families",social media allows families that live far apart to keep in touch and share their lives with each other.,social media
"social media: abreast, friends, members, going",social media allows family members and friends to keep abreast of things that are going on in each other's lives.,social media
"social media: miles, though, touch",social media allows family to stay in touch even though they live miles apart.,social media
"social media: stay, media, family, social, allows",social media allows family to stay in touch.,social media
"social media: reconnection, lost, media, family, long",social media allows for the reconnection of long lost family members.,social media
"social media: contact, friends, lot, stay, media, family",social media allows friends and family to stay in contact a lot easier.,social media
"social media: user, screen, base, hide, computer","social media allows its user base to hide behind a computer screen which enables them to act, do, and say things they would likely not do and shouldn't do,  in public.",social media
"social media: screen, users, behind, say, likely",social media allows its users to do and say things behind a screen that they likely would not do if in public.,social media
"social media: reconnect, irrespective, distance, lost, members",social media allows long lost family members to reconnect with each other irrespective of the distance between them.,social media
"social media: media, social, immobile, touch, users","social media allows otherwise immobile users (the handicapped, e.g.) to stay in touch with others in ways that they could not without social media.",social media
"social media: shy, friendships, otherwise, form, media",social media allows people that are shy to form friendships they otherwise wouldn’t have.,social media
"social media: harass, bully, hide","social media allows people to bully and harass otherwise with anonymity, as they can easily hide behind a keyboard, vpn, etc.",social media
"social media: veil, bully, behind, usually","social media allows people to bully others, usually behind a veil of anonymity.",social media
"social media: snail, communicate, frequently, wait, quickly",social media allows people to communicate frequently and quickly without having to wait for snail mail.,social media
"social media: instantly, communicate, media, social, allows",social media allows people to communicate with each other instantly,social media
"social media: globally, connect, otherwise",social media allows people to connect globally which otherwise couldnt.,social media
"social media: contact, touch, across",social media allows people to connect. families can stay in touch across the globe. you can have contact in a way that would not be possible with traditional communications.,social media
"social media: distance, connected, despite, physical, stay, media",social media allows people to stay connected to each other despite physical distance,social media
"social media: distance, connected, members",social media allows people to stay connected with family members who live a long distance apart.,social media
"social media: relatives, touch, friends, stay, media",social media allows people to stay in touch with friends and relatives all over the world,social media
"social media: immobile, connect, ways, otherwise, never",social media allows people who otherwise are immobile to connect with others in ways they could never have before.,social media
"social media: socialize, interact, daily, ease, interaction","social media allows people with limited interaction with others in their daily life to be able to socialize and interact with other adults on the internet, helping to ease loneliness.",social media
"social media: cheaply, connect, media, us, family, social",social media allows us to connect to family cheaply and more often.,social media
"social media: apart, friends, brings, live, media, family",social media brings family and friends who live apart together.,social media
"social media: closer, brings, living, far, together, away",social media brings family living far away closer together,social media
"social media: family, reunions, distance, contact",social media brings long distance family together and keeps them in contact for years to come rather than only through family reunions,social media
"social media: connects, similar, brings","social media brings more good than harm because it connects people who have similar interests, but are far away from each other - even in different countries.",social media
"social media: touch, users, friends, close, brings",social media brings more good than harm because users are able to keep in touch with family and friends who do not live close to them.,social media
"social media: friends, media, social, fake",social media brings more harm than good because instead of making real life friends they rely on the fake social media friends,social media
"social media: seemingly, comparison, harshly, perfect",social media brings more harm than good because it causes people to judge themselves too harshly in comparison of the seemingly perfect lives of others online.,social media
"social media: invades, sharing, personally, privacy",social media brings more harm than good because it invades users' privacy by sharing information that is personally identifiable.,social media
"social media: media, social, distracts, daily",Social media brings more harm than good because social media distracts everyone from their daily lives,social media
"social media: media, social, brainwashing, sort, hatred, share",social media brings more harm than good because social media is a brainwashing of some sort it makes people go against each other and create hatred if they do not share same ideas,social media
"social media: communication, diverse, parts, brings, different, together",social media brings people together and allows communication between diverse groups from different parts of the world.,social media
"social media: brings, together, media, social, world",social media brings people together from all over the world,social media
"social media: brings, together, otherwise, never, media, social",social media brings people together that otherwise would never have met.,social media
"social media: brings, together, otherwise, media, social, able",social media brings people together that otherwise would not be able to.,social media
"social media: separated, brings, together, great, media",Social media brings people together who are separated by great distances.,social media
"social media: familes, talked, likeminded","social media brings people together, not only familes and friends, but likeminded people who may never have talked or met each other in real life, bonding over a common interest or topic.",social media
"social media: brings, media, social",social media brings people together.,social media
"social media: friends, brings, around, together, stay, otherwise",social media brings together family and friends from all around the world that otherwise wouldn't stay in contact.,social media
"social media: brings, together, media, social, world",social media brings together people all over the world with ease.,social media
"social media: revolution, reform, voices, heard, aid",social media can aid countries into revolution and political reform by giving people an easier way to have their voices heard,social media
"social media: alienate, users, real, personal, media",social media can alienate users from real personal contact.,social media
"social media: spotlight, injustices, gone",social media can be a force of positive change if used in the right way and can give a spotlight to injustices that would have otherwise gone unnoticed.,social media
"social media: relationships, addicting, moment",social media can be addicting and take people out of the moment and harm relationships with those that they are around in person. it can keep people from developing relationships in person.,social media
"social media: distract, aspects, accessible, variety","social media can be addicting, and since it is so easily accessible from a variety of devices, it can distract people from more important aspects of life",social media
"social media: outlet, contact, friends, media, social, keep",social media can be an outlet for people to keep in contact with their friends and family.,social media
"social media: paedophiles, unscrupulous, reach, within, places",social media can be dangerous for children and young people as it places them within the reach of unscrupulous people such as paedophiles and criminals.,social media
"social media: cause, popularity, addicting, cyber",social media can be incredibly addicting and cause depression based on popularity contests. we shouldn't use it so much because it can cause suicide and cyber bullying.,social media
"social media: stay, otherwise, immobile, relatives",social media can be used by the elderly and other otherwise immobile persons to stay in touch with friends and relatives that they could otherwise never stay in contact with.,social media
"social media: media, used, social, make",social media can be used to make friends.,social media
"social media: thru, apart, computer",social media can bring families that live far apart together thru their computer and phone.,social media
"social media: suicidal, sensitive, depression, behavior, media",social media can cause depression and suicidal behavior in sensitive people.,social media
"social media: others, exclusion, seeing, feelings",social media can cause issues with self esteem. constantly seeing others who are doing better things than you can be harmful. it can also lead to feelings of exclusion if you see others out without you.,social media
"social media: breakdowns, hear, inadequate, feeling, relationship, see",social media can cause relationship breakdowns and people feeling inadequate when they see and hear what other people have,social media
"social media: miserable, scrutinize, image, unhealthy","social media can create an unhealthy image of how we scrutinize our lives, making us miserable",social media
"social media: connect, media, others, like, social, help",social media can help connect people with others like themselves.,social media
"social media: loneliness, help, fighting","social media can help people fighting loneliness and even help some to find a job, therefore they are very useful.",social media
"social media: change, social, networks, oppressive",social media can lead to positive social change in the real world by creating networks of people that force oppressive governments to change,social media
"social media: milestones, birthdays, pictures",social media can provide a great way for people who are separated by distance to stay in touch. families can use it to post pictures of key milestones such as birthdays which might otherwise have been missed.,social media
"social media: trying, causes, live, media, harm, social",social media causes harm by people trying to live up to their peers.,social media
"social media: social, extreme","social media causes inactivity, social isolation, problems with self-esteem and focus, and, in extreme cases, suicide.",social media
"social media: interacting, online, fake","social media causes more harm to people because we are spending more time online interacting in a fake world, then we are interacting with people in real life.",social media
"social media: compare, missing, severe, fear, experience",social media causes people to compare themselves to others and experience severe fear of missing out in life.,social media
